priority,business_name,phone,phone_type,category,city,state,source,discovery_method,website,is_sole_proprietor,found_at
standard,TREMON LLC,9569280112,landline,111N00000X,EDINBURG,TX,nppes,,,,
standard,"KHIT AND ASSOCIATES, PLLC",9564283627,landline,111N00000X,MISSION,TX,nppes,,,,
standard,ADJUSTFIRST PA,5128589355,landline,111N00000X,DRIPPING SPRINGS,TX,nppes,,,,
standard,"DEVRIES FAMILY CHIROPRACTIC, P.A.",5124050400,landline,111N00000X,KYLE,TX,nppes,,,,
standard,GOOD VIBES CHIROPRACTIC PLLC,8324743231,landline,111N00000X,MARBLE FALLS,TX,nppes,,,,
standard,JAMES W WRIGHT DC PA,5124765695,landline,111N00000X,AUSTIN,TX,nppes,,,,
standard,INNATE GENESIS LLC,5123878733,landline,111N00000X,ROUND ROCK,TX,nppes,,,,
standard,FIRE OF LIFE CHIROPRACTIC PLLC,5126089121,landline,111N00000X,LAKEWAY,TX,nppes,,,,
standard,"ELENA V. OLCOTT, DC, PA",5122668100,landline,111N00000X,AUSTIN,TX,nppes,,,,
standard,"ADAM ANH T. TRAN CHIROPRACTIC, P.L.L.C.",5126142330,landline,111N00000X,AUSTIN,TX,nppes,,,,
standard,"LOVEROUS WHITTAKER, II, D.C.",5126924737,landline,111N00000X,AUSTIN,TX,nppes,,,,
standard,UVALDE CHIROPRACTIC HEALTH,8302783371,landline,111N00000X,UVALDE,TX,nppes,,,,
standard,AN AZURE MOON INC,5123532882,landline,111N00000X,SAN MARCOS,TX,nppes,,,,
standard,PURE ENERGY CHIROPRACTIC,8016732027,landline,111N00000X,AUSTIN,TX,nppes,,,,
standard,"DISCOVER CHIROPRACTIC & WELLNESS, PLLC",5128642744,landline,111N00000X,GEORGETOWN,TX,nppes,,,,
standard,UNIVERSITY CHIROPRACTIC P.C.,5124808889,landline,111N00000X,AUSTIN,TX,nppes,,,,
standard,AT HOME CHIROPRACTIC LLC,9792248151,landline,111N00000X,WEIMAR,TX,nppes,,,,
standard,BLESSED FAMILY WELLNESS,5127575848,landline,111N00000X,GEORGETOWN,TX,nppes,,,,
standard,YOUNG C & A,8067638361,landline,111N00000X,LUBBOCK,TX,nppes,,,,
standard,"AMARILLO CHIROPRACTIC CENTER, PLLC",8064335234,landline,111N00000X,AMARILLO,TX,nppes,,,,
standard,BRETT JUNGMAN DC PLLC,8065357099,landline,111N00000X,LUBBOCK,TX,nppes,,,,
standard,DAVIS CHIROPRACTIC,8067744790,landline,111N00000X,LUBBOCK,TX,nppes,,,,
standard,"CLEAR POINT WELLNESS, PLLC",5124167700,landline,111N00000X,AUSTIN,TX,nppes,,,,
standard,SOCIETY CHIROPRACTIC COMPANY LLC,4326140888,landline,111N00000X,MIDLAND,TX,nppes,,,,
standard,RESILIENCE CHIROPRACTIC LLC,8327861997,landline,111N00000X,HOUSTON,TX,nppes,,,,
standard,RHYTHM REHAB & CHIRO,8327132517,landline,111N00000X,HOUSTON,TX,nppes,,,,
standard,"THE BODY THEORY, PLLC",2145927808,landline,111N00000X,WOODWAY,TX,nppes,,,,
standard,"ALIEF CHIRO & REHAB, INC.",8326177277,landline,111N00000X,HOUSTON,TX,nppes,,,,
standard,CLEAR LAKE COMPLETE CHIROPRACTIC,2814882291,landline,111N00000X,HOUSTON,TX,nppes,,,,
standard,"ALL KINDS OF SPINES,LLC",7405254701,landline,111N00000X,HOUSTON,TX,nppes,,,,
standard,TOP DOCTORS THERAPY,6304324947,landline,111N00000X,HOUSTON,TX,nppes,,,,
standard,"LAKEWOOD CHIROPRACTIC CLINIC, P.A.",7136331626,landline,111N00000X,HOUSTON,TX,nppes,,,,
standard,TAO CHIROPRACTIC CLINICS INC,2818584446,landline,111N00000X,HOUSTON,TX,nppes,,,,
