priority,business_name,phone,phone_type,category,city,state,source,discovery_method,website,is_sole_proprietor,found_at
standard,"TEMPERED MEDICAL HOLDINGS, PLLC",4692830194,landline,2084N0600X,,TX,,,,,
standard,"YORK DRIVE INVESTMENTS, PLLC",4694205205,landline,2084N0600X,,TX,,,,,
standard,"STIMULEN DIAGNOSTICS, PLLC",4694205212,landline,2084N0600X,,TX,,,,,
standard,OVERSITE NEURO,9728961843,landline,2084N0600X,,TX,,,,,
standard,SUMMIT NEUROPHYSIOLOGY PLLC,9159998585,landline,2084N0600X,,TX,,,,,
standard,ZAINAB ALALAWI MD PLLC,3132042229,landline,2084N0600X,,TX,,,,,
standard,GDA NEUROPHYSIOLOGY PLLC,9132269584,landline,2084N0600X,,TX,,,,,
standard,"VELOCITY NEURO, LLC",2144998330,landline,2084N0600X,,TX,,,,,
standard,"OCCIPITAL IOM, PLLC",4694205214,landline,2084N0600X,,TX,,,,,
standard,"SURGICAL IOM, LLC",8179122131,landline,2084N0600X,,TX,,,,,
standard,"TEVETA IOM, PLLC",7139558269,landline,2084N0600X,,TX,,,,,
standard,NEUROEVALUATION PLLC,2817219667,landline,2084N0600X,CONROE,TX,nppes,,,,
standard,METRICS HEALTHCARE PLLC,8325320863,landline,2084N0600X,SUGAR LAND,TX,nppes,,,,
standard,"NEURO MANAGEMENT SOLUTIONS, LLC",9364457625,landline,2084N0600X,CROSBY,TX,nppes,,,,
standard,LONE STAR HEALTH CENTER LLC,9727953422,landline,2084N0600X,HOUSTON,TX,nppes,,,,
standard,"RED ROCK NEURODIAGNOSTIC SERVICES, PLLC",8323742808,landline,2084N0600X,MISSOURI CITY,TX,nppes,,,,
standard,GULF COAST NEURO MONITORING PA,8324877722,landline,2084N0600X,FRIENDSWOOD,TX,nppes,,,,
standard,AUSTX NEURO PLLC,5127179961,landline,2084N0600X,AUSTIN,TX,nppes,,,,
standard,"TOTAL NEUROLOGY OF THE GULF COAST, PA",9794800990,landline,2084N0600X,LAKE JACKSON,TX,nppes,,,,
standard,"INSITE SURGICAL MONITORING SERVICES LLC, IN-SITE",2108549488,landline,2084N0600X,SAN ANTONIO,TX,nppes,,,,
standard,TEXAS ONE HEALTH INC,7137711790,landline,2084N0600X,HOUSTON,TX,nppes,,,,
standard,"IKECHUKWU OBIH, MD PLLC",5046063922,landline,2084N0600X,AUSTIN,TX,nppes,,,,
standard,"ADENEURO INC, PLLC",2107145492,landline,2084N0600X,SHAVANO PARK,TX,nppes,,,,
standard,"TRAVIS COUNTY NEUROMONITORING, PLLC",5125382179,landline,2084N0600X,AUSTIN,TX,nppes,,,,
standard,"MONTLAKE DIAGNOSTICS, PLLC",2107145532,landline,2084N0600X,SAN ANTONIO,TX,nppes,,,,
standard,"SCJ MONITORING, PLLC",7139558258,landline,2084N0600X,WEST UNIVERSITY PLACE,TX,nppes,,,,
standard,GREENWOOD SERVICES PLLC,2816515329,landline,2084N0600X,THE WOODLANDS,TX,nppes,,,,
standard,INDEPENDENT NEUROPHYSIOLOGY PLLC,2105662333,landline,2084N0600X,SCHERTZ,TX,nppes,,,,
standard,CNS NEUEOSPINEMONITORING PLLC,8323670759,landline,2084N0600X,THE WOODLANDS,TX,nppes,,,,
standard,CHRISTOPHER MERKL MD PA,7136650472,landline,2084N0600X,HOUSTON,TX,nppes,,,,
standard,"ASCENDANT OF HOUSTON, PLLC",5125982801,landline,2084N0600X,HOUSTON,TX,nppes,,,,
standard,"NEUROLOGY ASSOCIATES OF PEARLAND, PLLC",2818354159,landline,2084N0600X,PEARLAND,TX,nppes,,,,
standard,HOUSTON NEURO SCIENCE PLLC,2102367266,landline,2084N0600X,SPRING,TX,nppes,,,,
standard,FORTBEND NEUROLOGY,2819802525,landline,2084N0600X,SUGAR LAND,TX,nppes,,,,
standard,"SOUTHEAST TEXAS NEUROMONITORING, PLLC",7139558262,landline,2084N0600X,WEST UNIVERSITY PLACE,TX,nppes,,,,
standard,PRECISION NEURODIAGNOSTIC LABORATORIES LLC,8326689830,landline,2084N0600X,BELLAIRE,TX,nppes,,,,
standard,OCAT NEUROTECH LLC,8172958708,landline,2084N0600X,SAN ANTONIO,TX,nppes,,,,
standard,"PRO ORACLE, LLC",8326800119,landline,2084N0600X,HOUSTON,TX,nppes,,,,
standard,"CENTRAL TEXAS NEUROMONITORING, PLLC",5127179973,landline,2084N0600X,AUSTIN,TX,nppes,,,,
standard,"EGYPTIAN DOBERMAN, PLLC",5126525495,landline,2084N0600X,AUSTIN,TX,nppes,,,,
standard,N20 IOM,8329301000,landline,2084N0600X,HOUSTON,TX,nppes,,,,
standard,"IOM PROFESSIONAL SERVICES, PLLC",7734549222,landline,2084N0600X,CONROE,TX,nppes,,,,
standard,TEJAS NEUROMONITORING PLLC,5125389982,landline,2084N0600X,AUSTIN,TX,nppes,,,,
standard,"LG NEUROMET, INC.",9567929928,landline,2084N0600X,MCALLEN,TX,nppes,,,,
standard,"NORTHSIDE NEURODIAGNOSTICS, PLLC",5125382175,landline,2084N0600X,AUSTIN,TX,nppes,,,,
standard,SANDSTONE INTRAOPERATIVE NEUROMONITORING PLLC,+18888513677,,2084N0600X,SAN ANTONIO,TX,adapter:nppes,,,,
standard,STARBRANCH PSYCHIATRY ASSOCIATES,7134907017,landline,2084P0015X,HOUSTON,TX,nppes,,,,
standard,EDWARD B GRIPON MD PA,4098994472,landline,2084P0015X,BEAUMONT,TX,nppes,,,,
standard,SOUTHWEST TRAUMA RECOVERY CLINICS,8172647225,landline,2084P0301X,,TX,,,,,
standard,HOUSTON NEUROLOGY & DIAGNOSTICS PLLC,7135896146,landline,2084P0301X,HOUSTON,TX,nppes,,,,
standard,FDA MEDICAL PARTNERS PLLC,8326684334,landline,2084P0301X,AUSTIN,TX,nppes,,,,
standard,BENT TREE PSYCHIATRIC ASSOC,9727337242,landline,2084P0800X,,TX,,,,,
standard,LAWRENCE V. TUCKER MD INC,9727572178,landline,2084P0800X,,TX,,,,,
standard,SUMMIT BEHAVIORAL HEALTH PLLC,9726559121,landline,2084P0800X,,TX,,,,,
standard,SATISH NARAYAN MD PA,9728428206,landline,2084P0800X,,TX,,,,,
standard,"DENTON PSYCHIATRIC ASSOCIATES, LP",9723757821,landline,2084P0800X,,TX,,,,,
standard,"PRESTON HOLLOW PSYCHIATRY GROUP, PLLC",2146978230,landline,2084P0800X,,TX,,,,,
standard,BEACON BEHAVIORAL OF TEXAS PA,2254362529,landline,2084P0800X,,TX,,,,,
standard,EMPOWER MIND PLLC,9729778388,landline,2084P0800X,,TX,,,,,
standard,TEXAS BEHAVIORAL HEALTH SYSTEMS PA,2142271300,landline,2084P0800X,,TX,,,,,
standard,"KIP QUEENAN MD, PLLC",4694844264,landline,2084P0800X,,TX,,,,,
standard,PRIME PSYCHIATRY PA,4697774691,landline,2084P0800X,,TX,,,,,
standard,ADULT CHILD & ADOLESCENT PSYCHIATRIC SERVICES PA,9727097556,landline,2084P0800X,,TX,,,,,
standard,SUNITA SINGH MD PA,2143835630,landline,2084P0800X,,TX,,,,,
standard,SUMMUS BEHAVIORAL HEALTH PLLC,2148829136,landline,2084P0800X,,TX,,,,,
standard,GHAZALA N AHMED PLLC,4026172264,landline,2084P0800X,,TX,,,,,
standard,"PATHWAYS MEDICAL SERVICES, P.L.L.C",9728003043,landline,2084P0800X,,TX,,,,,
standard,TEXAS IN HARMONY PSYCHIATRIC GROUP LLC,2147436159,landline,2084P0800X,,TX,,,,,
standard,"ALICE A SANCHEZ, MD, PA",2147052246,landline,2084P0800X,,TX,,,,,
standard,"PREMIER PSYCHIATRIC & SLEEP MEDICINE ASSOCIATES, PLLC",9729857499,landline,2084P0800X,,TX,,,,,
standard,BEACON BEHAVIORAL OF TEXAS PA,2145507536,landline,2084P0800X,,TX,,,,,
standard,BEACON BEHAVIORAL OF TEXAS PA,4439623945,landline,2084P0800X,,TX,,,,,
standard,SHAHLA ALI MD PA,4693402777,landline,2084P0800X,,TX,,,,,
standard,MBODY TEXAS PLLC,5739999135,landline,2084P0800X,,TX,,,,,
standard,PSYCHIATRIC ASSOCIATES OF NORTH TEXAS PA,2146182225,landline,2084P0800X,,TX,,,,,
standard,MANISH NAIR MD PLLC,2147556874,landline,2084P0800X,,TX,,,,,
standard,SUNRISE PSYCHIATRIC SERVICES PLLC,4258299974,landline,2084P0800X,,TX,,,,,
standard,"MKRAM, INC.",9722649111,landline,2084P0800X,,TX,,,,,
standard,SMART NEURO HEALTH & WELLNESS PROFESSIONALS TEXAS PA,9038022780,landline,2084P0800X,,TX,,,,,
standard,SMART NEURO HEALTH & WELLNESS PROFESSIONALS TEXAS PA,9727333375,landline,2084P0800X,,TX,,,,,
standard,MINDS OF GOLD,4694695458,landline,2084P0800X,,TX,,,,,
standard,MINDS OF GOLD,9722920533,landline,2084P0800X,,TX,,,,,
standard,ZOE INTEGRATED CARE PLLC,8177791641,landline,2084P0800X,,TX,,,,,
standard,PRESTIGE PSYCHIATRY,8178057051,landline,2084P0800X,,TX,,,,,
standard,PSYCHONE ASSOCIATES LLC,9726801577,landline,2084P0800X,,TX,,,,,
standard,ANDALA MEDICAL TEXAS PA,2108627246,landline,2084P0800X,,TX,,,,,
standard,"CHARLES HO MD PSYCHIATRY, PLLC",9452153995,landline,2084P0800X,,TX,,,,,
standard,"MINDFUL PROVIDERS, PA",9018348040,landline,2084P0800X,,TX,,,,,
standard,LANTANA PSYCHIATRY PLLC,4696638848,landline,2084P0800X,,TX,,,,,
standard,"HORIZON MENTAL HEALTH MANAGEMENT, INC",9724208345,landline,2084P0800X,,TX,,,,,
standard,"SUMMIT PSYCHIATRIC ASSOCIATES, PLLC",4695731890,landline,2084P0800X,,TX,,,,,
standard,ANCHOR PSYCHIATRY,9726630222,landline,2084P0800X,,TX,,,,,
standard,NORTEX PSYCHIATRY PLLC,2147176676,landline,2084P0800X,,TX,,,,,
standard,TURNWELL MENTAL HEALTH OF TEXAS PLLC,4697650328,landline,2084P0800X,,TX,,,,,
standard,"NISHENDU M. VASAVADA, M.D., P.A.",9722211741,landline,2084P0800X,,TX,,,,,
standard,NORTH TEXAS PSYCHIATRY ASSOCIATES PLLC,9739861235,landline,2084P0800X,,TX,,,,,
standard,"MOSAIC BEHAVIORAL HEALTH, LLC",4693610467,landline,2084P0800X,,TX,,,,,
standard,PRESTONWOOD HEALTH PLLC,2145005357,landline,2084P0800X,,TX,,,,,
standard,"BRIANNA RIDDLEBARGER, PHYSICIAN ASSOCIATE, INC",2143068447,landline,2084P0800X,,TX,,,,,
standard,HERITAGE PSYCHIATRY PA,9725624755,landline,2084P0800X,,TX,,,,,
standard,"NORTH POINTE PSYCHIATRY, PA",4694442244,landline,2084P0800X,,TX,,,,,
standard,FAZILA SIDDIQI MD . PA,2144911618,landline,2084P0800X,,TX,,,,,
standard,TEXAS PAIN PSYCHIATRY PLLC,9723107121,landline,2084P0800X,,TX,,,,,
standard,"PAUL MEIER DAY PROGRAM, INC.",9724374698,landline,2084P0800X,,TX,,,,,
standard,SURESH SUREDDI MD LLC,2149081255,landline,2084P0800X,,TX,,,,,
standard,"PAVAN PAMADURTHI M.D., P.A.",4699414546,landline,2084P0800X,,TX,,,,,
standard,BEHAVIORAL HEALTH NORTH TEXAS ASSOCIATION LLC,8179843514,landline,2084P0800X,,TX,,,,,
standard,GREATHOPE PSYCHIATRY PLLC,4697780263,landline,2084P0800X,,TX,,,,,
standard,CENTENNIAL PSYCHIATRIC CONSULTANTS.PLLC,4693963221,landline,2084P0800X,,TX,,,,,
standard,"JOANNA EERNISSE, PLLC",2142222731,landline,2084P0800X,,TX,,,,,
standard,MINIRTH CLINIC PA,9726691733,landline,2084P0800X,,TX,,,,,
standard,SLAUGHTER PSYCHIATRIC PLLC,9728933376,landline,2084P0800X,,TX,,,,,
standard,PSYCHMED INNOVATIVE SOLUTIONS,6178385373,landline,2084P0800X,,TX,,,,,
standard,BLUEHAVEN PSYCHIATRY PLLC,2144321669,landline,2084P0800X,,TX,,,,,
standard,CARROLLTON SPRINGS PHYSICIAN GROUP,4696341270,landline,2084P0800X,,TX,,,,,
standard,SBN PROFESSIONAL PSYCHIATRY CORP,2143209000,landline,2084P0800X,,TX,,,,,
standard,CINDER PRODUCTS LLC,9724336801,landline,2084P0800X,,TX,,,,,
standard,"THOMAS A GRUGLE, MD PA",9726723100,landline,2084P0800X,,TX,,,,,
standard,CORNERSTONE FAMILY PSYCHIATRY PLLC,9728919217,landline,2084P0800X,,TX,,,,,
standard,"DEEPIKA BHARGAVA, M.D., P.A.",9038920751,landline,2084P0800X,,TX,,,,,
standard,24/7 PSYCHIATRY & MENTAL HEALTH SERVICES,6825592160,landline,2084P0800X,,TX,,,,,
standard,ROBERT ALAN WOODWARD MD PA,9723252832,landline,2084P0800X,,TX,,,,,
standard,"TRISHA MODI, MD, PLLC",4693330429,landline,2084P0800X,,TX,,,,,
standard,FIREFLY MENTAL HEALTH,4054237477,landline,2084P0800X,,TX,,,,,
standard,"JUSTIN O'BRIEN MD, PLLC",2142539565,landline,2084P0800X,,TX,,,,,
standard,"BAGYALAKSHMI ARUMUGHAM ASSOCIATED, M.D.",9726809001,landline,2084P0800X,,TX,,,,,
standard,ZIA UDDIN MD CLARITY MEDICAL PLLC,4693316285,landline,2084P0800X,,TX,,,,,
standard,SABRI H SHEIKHA MD PHD PA,9727723630,landline,2084P0800X,,TX,,,,,
standard,JUDITH ANNE HAMANN COOK MD,9038926700,landline,2084P0800X,,TX,,,,,
standard,SK INNOVATIVE BRAIN HEALTH PLLC,9452497010,landline,2084P0800X,,TX,,,,,
standard,LIVING HOPE PSYCHIATRY PLLC,9725029420,landline,2084P0800X,,TX,,,,,
standard,AARON A BROWN DO PLLC,9033286556,landline,2084P0800X,,TX,,,,,
standard,THINKWELL PSYCHIATRY,4698350217,landline,2084P0800X,,TX,,,,,
standard,S & S PSYCHIATRIC SERVICES PA,7033077686,landline,2084P0800X,,TX,,,,,
standard,"ADITYA SHARMA, PLLC",4697420199,landline,2084P0800X,,TX,,,,,
standard,PERFECT BALANCE PSYCHIATRIC SERVICES PLLC,9727810100,landline,2084P0800X,,TX,,,,,
standard,DFW PSYCHIATRY ASSOCIATES PA,4692136400,landline,2084P0800X,,TX,,,,,
standard,BLUE SKY HEALTH,9707097556,landline,2084P0800X,,TX,,,,,
standard,"RAN FRIEDMAN, MD, PLLC",9729051597,landline,2084P0800X,,TX,,,,,
